DATETIME,IDENTIFIER,INFO,FILE,USER,LAB,VERSION,TAG1,TAG2,TAG3
"2015-02-02 11:25:56",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:25:59",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:26:00",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:27:56",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:27:59",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:28:15",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:28:16",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:32:48",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:32:49",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:32:51",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:32:52",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:32:52",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:32:53",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:32:54",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:32:55",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:34:45",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:34:47",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:34:49",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:34:50",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:34:50",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:34:52",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:35:56",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:35:57",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:38:36",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:38:38",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:46:59",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:47:01",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:47:48",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:47:49",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:54:09",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:54:10",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:54:21",inv_new_reagent,X,inv_new_reagent,53,127,2.9,X,X,X
"2015-02-02 11:54:24",view_stock,X,view_stock,53,127,2.9,X,X,X
"2015-02-02 11:54:27",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:54:28",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 11:54:53",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 11:54:54",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 12:11:41",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 12:11:42",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 13:31:30",lab_config_home,X,lab_config_home.php?id=127,,,2.9,X,X,X
"2015-02-02 13:31:38",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 13:31:39",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 13:40:44",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 13:40:45",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 13:41:42",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 13:41:43",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 13:43:40",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 13:43:41",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 13:44:00",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 13:44:01",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 14:49:44",lab_config_home,X,lab_config_home.php?id=127,,,2.9,X,X,X
"2015-02-02 14:49:50",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 14:49:51",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 14:50:17",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 14:50:18",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 15:36:40",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 15:36:41",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 15:52:21",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 15:52:22",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 15:54:05",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 15:54:06",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:01:36",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:01:38",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:01:58",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:02:00",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:03:56",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:03:57",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:09:04",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:09:06",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:10:43",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:10:45",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:11:17",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:11:18",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:11:24",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:11:25",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:14:18",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:14:19",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:18:02",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:18:04",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:25:10",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:25:12",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:26:02",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:26:04",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:29:00",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:29:01",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:31:32",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:31:33",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:32:39",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:32:40",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:33:46",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:33:47",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:39:57",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:39:59",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:41:02",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:41:04",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:42:16",edit_stock,X,edit_stock.php?id=1,53,127,2.9,X,X,X
"2015-02-02 16:42:19",view_stock,X,view_stock,53,127,2.9,X,X,X
"2015-02-02 16:42:23",edit_stock,X,edit_stock.php?id=1,53,127,2.9,X,X,X
"2015-02-02 16:42:26",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:42:28",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:52:49",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:52:50",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 16:58:30",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 16:58:31",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 17:00:46",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 17:00:48",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 17:02:37",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 17:02:38",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-02-02 17:12:01",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-02-02 17:12:03",view_stocks,X,view_stocks,53,127,2.9,X,X,X
