DATETIME,IDENTIFIER,INFO,FILE,USER,LAB,VERSION,TAG1,TAG2,TAG3
"2017-04-12 04:22:01",lab_config_home,X,lab_config_home.php?id=127,53,127,3.21,X,X,X
"2017-04-12 04:22:07",view_stocks,X,view_stocks,53,127,3.21,X,X,X
"2017-04-12 04:23:43",lab_config_home,X,lab_config_home.php?id=127,,,3.21,X,X,X
"2017-04-12 04:24:17",reports,X,reports,53,127,3.21,X,X,X
"2017-04-12 04:24:32",lab_config_home,X,lab_config_home.php?id=127,53,127,3.21,X,X,X
"2017-04-12 04:24:37",view_stocks,X,view_stocks,53,127,3.21,X,X,X
"2017-04-12 04:27:52",reports,X,reports,123,,3.21,X,X,X
"2017-04-12 04:29:21",backup_data_ui,X,backupDataUI.php?id=127,53,127,3.21,X,X,X
"2017-04-12 04:29:25",backup_data,X,backupData,53,127,3.21,X,X,X
"2017-04-12 04:40:12",backup_data_ui,X,backupDataUI.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:54:33",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:56:46",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:56:56",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:57:43",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:59:19",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:59:39",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 04:59:52",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:00:08",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:00:17",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:00:30",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:00:40",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:00:47",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:01:09",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:01:27",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:02:03",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:03:01",lab_config_home,X,lab_config_home.php?id=127,53,,3.21,X,X,X
"2017-04-12 05:06:55",lab_config_home,X,lab_config_home.php?id=127,53,127,3.21,X,X,X
"2017-04-12 05:07:01",view_stocks,X,view_stocks,53,127,3.21,X,X,X
"2017-04-12 05:07:06",reports,X,reports,53,127,3.21,X,X,X
"2017-04-12 05:07:22",catalog,X,catalog,53,127,3.21,X,X,X
"2017-04-12 05:07:24",lab_config_home,X,lab_config_home.php?id=127,53,127,3.21,X,X,X
"2017-04-12 05:07:31",view_stocks,X,view_stocks,53,127,3.21,X,X,X
"2017-04-12 05:07:44",catalog,X,catalog,53,127,3.21,X,X,X
"2017-04-12 05:07:45",reports,X,reports,53,127,3.21,X,X,X
"2017-04-12 05:07:56",search_p_dyn,op=1&qr=a,search_p_dyn,53,127,3.21,X,X,X
"2017-04-12 05:08:00",reports_testhistory,from=2017-04-12&to=2017-04-12&ip=0&viz=,reports_testhistory.php?patient_id=1836&location=127&yf=2017&mf=04&df=12&yt=2017&mt=04&dt=12&ip=0&labsection=0,53,127,3.21,X,X,X
"2017-04-12 05:08:07",reports_testhistory,"from=2000-04-12&to=2017-04-12&ip=0&viz=[object HTMLInputElement]",reports_testhistory.php?location=127&patient_id=1836&yf=2000&mf=04&df=12&yt=2017&mt=04&dt=12&ip=0&viz=[object%20HTMLInputElement],53,127,3.21,X,X,X
